name,site,phone,full_address,street,city,postal_code,state,country,latitude,longitude,reviews,working_hours,business_status,location_link,delivery_available,firewood_type,firewood_prep,price_range,website_available,description,firewood_type_extracted,price_extracted,price_info_available,needs_manual_review,has_firewood_delivery,has_firewood_type,has_firewood_prep,has_price_info
Steve Miller,,+1 845-893-3004,"52 Dr Davies Rd, Congers, NY 10920",52 Dr Davies Rd,Congers,10920,New York,United States of America,41.1514961,-73.9264722,3,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"https://www.google.com/maps/place/Steve+Miller/@41.151496099999996,-73.92647219999999,14z/data=!4m8!1m2!2m1!1sSteve+Miller!3m4!1s0x89c2c1a492f7e639:0xa0cfdbd060e4c56f!8m2!3d41.151496099999996!4d-73.92647219999999",,,,,No,"Steve Miller is a firewood provider based in Congers, New York. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Rail-River Terminal Co,,+1 740-532-6100,"101 Dayton Ln, Ironton, OH 45638",101 Dayton Ln,Ironton,45638,Ohio,United States of America,38.5129,-82.6584,3,,OPERATIONAL,"https://www.google.com/maps/place/Rail-River+Terminal+Co/@38.512899999999995,-82.6584,14z/data=!4m8!1m2!2m1!1sRail-River+Terminal+Co!3m4!1s0x8846714b9c329e0d:0x425abc7565edceaa!8m2!3d38.512899999999995!4d-82.6584",,,,,No,"Rail-River Terminal Co is a firewood provider based in Ironton, Ohio. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Fire wood 541,,+1 541-316-0319,"105 S 3rd Ave, Chiloquin, OR 97624",105 S 3rd Ave,Chiloquin,97624,Oregon,United States of America,42.5764822,-121.8599804,3,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,"https://www.google.com/maps/place/Fire+wood+541/@42.5764822,-121.8599804,14z/data=!4m8!1m2!2m1!1sFire+wood+541!3m4!1s0x54c8bb26437c787b:0xa4b77a0508861488!8m2!3d42.5764822!4d-121.8599804",,,,,No,"Fire wood 541 is a firewood provider based in Chiloquin, Oregon. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Tyrrell Trees,,+1 717-392-3758,"396 Eckman Rd, Lancaster, PA 17603",396 Eckman Rd,Lancaster,17603,Pennsylvania,United States of America,39.9954347,-76.3014054,3,,OPERATIONAL,"https://www.google.com/maps/place/Tyrrell+Trees/@39.9954347,-76.3014054,14z/data=!4m8!1m2!2m1!1sTyrrell+Trees!3m4!1s0x89c6256ebef96111:0xd61aa75fedd278fe!8m2!3d39.9954347!4d-76.3014054",,,,,No,"Tyrrell Trees is a firewood provider based in Lancaster, Pennsylvania. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
LOGDOG FIREWOOD,,+1 561-741-8746,"16891 Jupiter Farms Rd Suite 1, Jupiter, FL 33478",16891 Jupiter Farms Rd Suite 1,Jupiter,33478,Florida,United States of America,26.9240445,-80.1921706,3,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/LOGDOG+FIREWOOD/@26.924044499999997,-80.1921706,14z/data=!4m8!1m2!2m1!1sLOGDOG+FIREWOOD!3m4!1s0x88ded3fe12d5c041:0x30f9d34b01442171!8m2!3d26.924044499999997!4d-80.1921706",,,,,No,"LOGDOG FIREWOOD is a firewood provider based in Jupiter, Florida. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Cano Tree Service,,+1 719-353-2136,"310 E Maple St, Vilas, CO 81087",310 E Maple St,Vilas,81087,Colorado,United States of America,37.3724147,-102.4449063,3,,OPERATIONAL,"https://www.google.com/maps/place/Cano+Tree+Service/@37.3724147,-102.4449063,14z/data=!4m8!1m2!2m1!1sCano+Tree+Service!3m4!1s0x870ee10e35940747:0xbdb0b5affd9b5409!8m2!3d37.3724147!4d-102.4449063",,,,,No,"Cano Tree Service is a firewood provider based in Vilas, Colorado. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Ed's Tree Service,,+1 405-706-5434,,,Beltsville,20705,Maryland,United States of America,35.5220531,-89.8176009,3,"{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""7AM-10PM""}",OPERATIONAL,"https://www.google.com/maps/place/Ed%27s+Tree+Service/@35.5220531,-89.8176009,14z/data=!4m8!1m2!2m1!1sEd%27s+Tree+Service!3m4!1s0x87b2118086be13ed:0xf07b0e8da537ae72!8m2!3d35.5220531!4d-89.8176009",,,,,No,"Ed's Tree Service is a firewood provider based in Beltsville, Maryland. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Top Notch Tree Service,,+1 478-447-2079,,,Van Nuys,91406,California,United States of America,33.017575,-83.045127,3,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/Top+Notch+Tree+Service/@33.017575,-83.045127,14z/data=!4m8!1m2!2m1!1sTop+Notch+Tree+Service!3m4!1s0x88f6af220f7701b7:0x7e9774e510650cf8!8m2!3d33.017575!4d-83.045127",,,,,No,"Top Notch Tree Service is a firewood provider based in Van Nuys, California. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
AAA Tree Trimming & Firewood Farm Cleburne,,+1 682-900-2002,"6417 Conveyor Dr, Cleburne, TX 76031",6417 Conveyor Dr,Cleburne,76031,Texas,United States of America,32.4613696,-97.2770299,3,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"https://www.google.com/maps/place/AAA+Tree+Trimming+%26+Firewood+Farm+Cleburne/@32.4613696,-97.2770299,14z/data=!4m8!1m2!2m1!1sAAA+Tree+Trimming+%26+Firewood+Farm+Cleburne!3m4!1s0x864e434446f74af1:0xbccb12a809e4d7e2!8m2!3d32.4613696!4d-97.2770299",,,,,No,"AAA Tree Trimming & Firewood Farm Cleburne is a firewood provider based in Cleburne, Texas. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
Interstate Pellets,,+1 507-383-1154,"308 Main St E, Clarks Grove, MN 56016",308 Main St E,Clarks Grove,56016,Minnesota,United States of America,43.7637248,-93.3236941,3,,OPERATIONAL,"https://www.google.com/maps/place/Interstate+Pellets/@43.7637248,-93.3236941,14z/data=!4m8!1m2!2m1!1sInterstate+Pellets!3m4!1s0x87f6cc95d64720d5:0x5f5bff5e296a0cf2!8m2!3d43.7637248!4d-93.3236941",,,,,No,"Interstate Pellets is a firewood provider based in Clarks Grove, Minnesota. Customers are encouraged to call for current pricing.",,Call for pricing,False,False,False,False,False,False
